1,1,0.0055248618784530384,askBest@0,(Offer  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
1,2,0.0055248618784530384,SimpleAgent@1,(Offer  bid:Bid[Place: Osaka, Budget: 1500, Days: 4, Purpose: Activity])
2,1,0.011049723756906077,askBest@0,(Offer  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
2,2,0.011049723756906077,SimpleAgent@1,(Offer  bid:Bid[Place: Osaka, Budget: 1500, Days: 4, Purpose: Activity])
3,1,0.016574585635359115,askBest@0,(Offer  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
3,2,0.016574585635359115,SimpleAgent@1,(Offer  bid:Bid[Place: Osaka, Budget: 1500, Days: 4, Purpose: Activity])
4,1,0.022099447513812154,askBest@0,(Offer  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
4,2,0.022099447513812154,SimpleAgent@1,(Offer  bid:Bid[Place: Osaka, Budget: 1500, Days: 4, Purpose: Activity])
5,1,0.027624309392265192,askBest@0,(Offer  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
5,2,0.027624309392265192,SimpleAgent@1,(Offer  bid:Bid[Place: Osaka, Budget: 1500, Days: 6, Purpose: Activity])
6,1,0.03314917127071823,askBest@0,(Offer  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
6,2,0.03314917127071823,SimpleAgent@1,(Accept  bid:Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing])
agreement,Bid[Place: Tokyo, Budget: 900, Days: 3, Purpose: Sightseeing],1.0,0.555
